,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
0,Wes Welker*+,NWE,30,WR,16,15,173,122,70.5%,1569,12.9,9,99,9.1,7.6,98.1,1
1,Roddy White*,ATL,30,WR,16,16,180,100,55.6%,1296,13.0,8,43,7.2,6.3,81.0,0
2,Jimmy Graham*,NOR,25,TE,16,11,149,99,66.4%,1310,13.2,11,59,8.8,6.2,81.9,1
3,Calvin Johnson*+,DET,26,WR,16,16,158,96,60.8%,1681,17.5,16,73,10.6,6.0,105.1,1
4,Rob Gronkowski*+,NWE,22,TE,16,16,124,90,72.6%,1327,14.7,17,52,10.7,5.6,82.9,0
5,Percy Harvin,MIN,23,WR,16,14,121,87,71.9%,967,11.1,6,52,8.0,5.4,60.4,2
6,Darren Sproles,NOR,28,rb,16,4,111,86,77.5%,710,8.3,7,39,6.4,5.4,44.4,1
7,Brandon Pettigrew,DET,26,TE,16,16,126,83,65.9%,777,9.4,5,27,6.2,5.2,48.6,0
8,Victor Cruz,NYG,25,wr,16,7,131,82,62.6%,1536,18.7,9,99,11.7,5.1,96.0,1
9,Dwayne Bowe,KAN,27,WR,16,14,142,81,57.0%,1159,14.3,5,52,8.2,5.1,72.4,1
10,Brandon Marshall*,MIA,27,WR,16,16,141,81,57.4%,1214,15.0,6,65,8.6,5.1,75.9,1
11,Marques Colston,NOR,28,wr,14,7,107,80,74.8%,1143,14.3,8,50,10.7,5.7,81.6,1
12,Larry Fitzgerald*,ARI,28,WR,16,16,154,80,51.9%,1411,17.6,8,73,9.2,5.0,88.2,0
13,Tony Gonzalez*,ATL,35,TE,16,16,116,80,69.0%,875,10.9,7,30,7.5,5.0,54.7,0
14,Aaron Hernandez,NWE,22,rb/TE,14,12,113,79,69.9%,910,11.5,7,46,8.1,5.6,65.0,1
15,Steve Smith*,CAR,32,WR,16,16,129,79,61.2%,1394,17.6,7,77,10.8,4.9,87.1,3
16,Jason Witten,DAL,29,TE,16,16,117,79,67.5%,942,11.9,5,64,8.1,4.9,58.9,1
17,Steve Johnson,BUF,25,WR,16,16,134,76,56.7%,1004,13.2,7,55,7.5,4.8,62.8,0
18,Hakeem Nicks,NYG,23,WR,15,15,133,76,57.1%,1192,15.7,7,68,9.0,5.1,79.5,0
19,Ray Rice*,BAL,24,RB,16,16,104,76,73.1%,704,9.3,3,52,6.8,4.8,44.0,2
20,Reggie Wayne,IND,33,WR,16,16,132,75,56.8%,960,12.8,4,56,7.3,4.7,60.0,0
21,Kellen Winslow,TAM,28,TE,16,15,123,75,61.0%,763,10.2,2,37,6.2,4.7,47.7,2
22,Nate Washington,TEN,28,WR,16,15,121,74,61.2%,1023,13.8,7,57,8.5,4.6,63.9,0
23,Nate Burleson,DET,30,WR,16,11,110,73,66.4%,757,10.4,3,47,6.9,4.6,47.3,1
24,Michael Crabtree,SFO,24,WR,15,14,115,72,62.6%,874,12.1,4,52,7.6,4.8,58.3,0
25,Mike Wallace*,PIT,25,WR,16,14,114,72,63.2%,1193,16.6,8,95,10.5,4.5,74.6,1
26,Pierre Garcon,IND,25,WR,16,16,134,70,52.2%,947,13.5,6,87,7.1,4.4,59.2,2
27,Brandon Lloyd,2TM,30,,15,14,148,70,47.3%,966,13.8,5,44,6.5,4.7,64.4,1
28,Antonio Brown*,PIT,23,wr,16,3,124,69,55.6%,1108,16.1,2,79,8.9,4.3,69.3,0
29,,,,,,,,,,,,,,,,,
30,Jabar Gaffney,WAS,31,WR,16,15,114,68,59.6%,947,13.9,5,45,8.3,4.3,59.2,1
31,Jordy Nelson,GNB,26,WR,16,9,96,68,70.8%,1263,18.6,15,93,13.2,4.3,78.9,0
32,Vernon Davis,SFO,27,TE,16,16,95,67,70.5%,792,11.8,6,44,8.3,4.2,49.5,3
33,Greg Jennings*,GNB,28,WR,13,13,101,67,66.3%,949,14.2,9,79,9.4,5.2,73.0,0
34,A.J. Green*,CIN,23,WR,15,15,115,65,56.5%,1057,16.3,7,58,9.2,4.3,70.5,1
35,Dustin Keller,NYJ,27,TE,16,12,115,65,56.5%,815,12.5,5,41,7.1,4.1,50.9,1
36,Mike Williams,TAM,24,WR,16,15,124,65,52.4%,771,11.9,3,42,6.2,4.1,48.2,2
37,Antonio Gates*,SDG,31,TE,13,13,88,64,72.7%,778,12.2,7,38,8.8,4.9,59.8,0
38,Darrius Heyward-Bey,OAK,24,WR,15,14,115,64,55.7%,975,15.2,4,58,8.5,4.3,65.0,1
39,Dez Bryant,DAL,23,WR,15,13,103,63,61.2%,928,14.7,9,50,9.0,4.2,61.9,3
40,Jeremy Maclin,PHI,23,WR,13,13,96,63,65.6%,859,13.6,5,59,8.9,4.8,66.1,1
41,Brent Celek,PHI,26,TE,16,16,98,62,63.3%,811,13.1,5,73,8.3,3.9,50.7,0
42,Steve Breaston,KAN,28,WR,16,13,98,61,62.2%,785,12.9,2,43,8.0,3.8,49.1,0
43,Greg Little,CLE,22,WR,16,12,119,61,51.3%,709,11.6,2,76,6.0,3.8,44.3,0
44,David Nelson,BUF,25,WR,16,13,97,61,62.9%,658,10.8,5,35,6.8,3.8,41.1,0
45,Vincent Jackson*,SDG,28,WR,16,16,115,60,52.2%,1106,18.4,9,58,9.6,3.8,69.1,0
46,Fred Davis,WAS,25,fb/TE,12,12,88,59,67.0%,796,13.5,3,42,9.0,4.9,66.3,1
47,DeSean Jackson,PHI,25,WR,15,15,104,58,55.8%,961,16.6,4,62,9.2,3.9,64.1,1
48,Anquan Boldin,BAL,31,WR,14,14,106,57,53.8%,887,15.6,3,56,8.4,4.1,63.4,1
49,Chris Johnson,TEN,26,RB,16,16,79,57,72.2%,418,7.3,0,34,5.3,3.6,26.1,3
50,Jermaine Gresham*,CIN,23,TE,14,13,92,56,60.9%,596,10.6,6,31,6.5,4.0,42.6,1
